MS-DRG ,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS
332, 06,SURG,RECTAL RESECTION W MCC,4.7767,10.2,12.5
333, 06,SURG,RECTAL RESECTION W CC,2.4906,5.8,6.9
334, 06,SURG,RECTAL RESECTION W/O CC/MCC,1.5954,3.3,3.9
335, 06,SURG,PERITONEAL ADHESIOLYSIS W MCC,4.1035,10.3,12.6
336, 06,SURG,PERITONEAL ADHESIOLYSIS W CC,2.3439,6.6,8.0
337, 06,SURG,PERITONEAL ADHESIOLYSIS W/O CC/MCC,1.6212,4.0,4.9
338, 06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,2.8646,7.0,8.5
339, 06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,1.6875,4.7,5.6
340, 06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.2105,2.8,3.3
341, 06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,2.2214,4.6,6.1
342, 06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,1.3505,2.7,3.5
343, 06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.0198,1.7,2.0
344, 06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,3.1626,8.3,10.7
345, 06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,1.6590,5.1,6.1
346, 06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.2303,3.6,4.1
347, 06,SURG,ANAL & STOMAL PROCEDURES W MCC,2.4818,6.1,8.2
348, 06,SURG,ANAL & STOMAL PROCEDURES W CC,1.4473,3.9,5.1
349, 06,SURG,ANAL & STOMAL PROCEDURES W/O CC/MCC,0.9561,2.3,2.9
350, 06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,2.4264,5.8,7.6
351, 06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,1.4004,3.5,4.3
352, 06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,1.0015,2.1,2.6
353, 06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,2.8746,6.2,8.0
354, 06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,1.6751,3.9,4.8
355, 06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,1.2698,2.5,3.0
356, 06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,3.8503,8.3,11.3
357, 06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,2.0749,5.1,6.5
358, 06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3550,3.1,4.0
368, 06,MED,MAJOR ESOPHAGEAL DISORDERS W MCC,1.8754,4.8,6.3
369, 06,MED,MAJOR ESOPHAGEAL DISORDERS W CC,1.0572,3.2,3.9
370, 06,MED,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,0.7500,2.3,2.8
371, 06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,1.7490,5.7,7.4
372, 06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,1.0858,4.3,5.2
373, 06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,0.7693,3.3,3.9
374, 06,MED,DIGESTIVE MALIGNANCY W MCC,2.0332,5.8,7.8
375, 06,MED,DIGESTIVE MALIGNANCY W CC,1.2246,3.9,5.1
376, 06,MED,DIGESTIVE MALIGNANCY W/O CC/MCC,0.8495,2.6,3.3
377, 06,MED,G.I. HEMORRHAGE W MCC,1.7730,4.7,6.0
378, 06,MED,G.I. HEMORRHAGE W CC,0.9860,3.2,3.7
379, 06,MED,G.I. HEMORRHAGE W/O CC/MCC,0.6567,2.2,2.6
380, 06,MED,COMPLICATED PEPTIC ULCER W MCC,2.0196,5.4,7.1
381, 06,MED,COMPLICATED PEPTIC ULCER W CC,1.0750,3.5,4.2
382, 06,MED,COMPLICATED PEPTIC ULCER W/O CC/MCC,0.7659,2.6,3.2
383, 06,MED,UNCOMPLICATED PEPTIC ULCER W MCC,1.3234,4.1,5.1
384, 06,MED,UNCOMPLICATED PEPTIC ULCER W/O MCC,0.8625,2.8,3.3
385, 06,MED,INFLAMMATORY BOWEL DISEASE W MCC,1.6306,5.3,7.0
386, 06,MED,INFLAMMATORY BOWEL DISEASE W CC,0.9703,3.7,4.6
387, 06,MED,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,0.7422,2.9,3.5
388, 06,MED,G.I. OBSTRUCTION W MCC,1.5476,5.1,6.7
389, 06,MED,G.I. OBSTRUCTION W CC,0.8585,3.4,4.2
390, 06,MED,G.I. OBSTRUCTION W/O CC/MCC,0.6014,2.6,3.1
391, 06,MED,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",1.1967,3.8,5.0
392, 06,MED,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",0.7402,2.7,3.3
393, 06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,1.6721,4.6,6.4
394, 06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,0.9351,3.3,4.1
395, 06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,0.6596,2.4,2.9
405, 07,SURG,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC",5.4464,10.3,13.7
406, 07,SURG,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",2.7825,5.7,7.1
407, 07,SURG,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC",2.0118,4.1,4.9
408, 07,SURG,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,3.8931,9.3,11.7
409, 07,SURG,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,2.2062,5.9,7.0
410, 07,SURG,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,1.6611,4.3,5.0
411, 07,SURG,CHOLECYSTECTOMY W C.D.E. W MCC,3.5626,8.6,10.3
412, 07,SURG,CHOLECYSTECTOMY W C.D.E. W CC,2.3722,6.2,7.2
413, 07,SURG,CHOLECYSTECTOMY W C.D.E. W/O CC/MCC,1.7890,4.2,5.0
414, 07,SURG,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,3.5095,8.4,10.3
415, 07,SURG,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,2.0235,5.5,6.4
416, 07,SURG,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,1.3259,3.3,3.9
417, 07,SURG,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,2.3944,5.5,6.9
418, 07,SURG,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,1.6499,3.9,4.7
419, 07,SURG,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,1.2619,2.5,3.0
420, 07,SURG,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,3.4728,7.6,10.8
421, 07,SURG,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,1.6829,4.1,5.5
422, 07,SURG,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,1.4228,2.7,3.6
423, 07,SURG,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,4.4817,9.6,13.7
424, 07,SURG,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,2.3553,5.9,8.0
425, 07,SURG,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,1.5207,3.4,3.9
432, 07,MED,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,1.7112,4.7,6.2
433, 07,MED,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,0.9273,3.2,4.0
434, 07,MED,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,0.6120,2.4,3.0
435, 07,MED,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,1.7396,5.0,6.6
436, 07,MED,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,1.1435,3.8,4.8
437, 07,MED,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,0.9305,2.7,3.4
438, 07,MED,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,1.6584,4.9,6.6
439, 07,MED,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,0.8703,3.4,4.1
440, 07,MED,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,0.6280,2.6,3.1
441, 07,MED,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",1.8910,5.0,6.8
442, 07,MED,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",0.9123,3.3,4.1
443, 07,MED,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",0.6644,2.5,3.1
444, 07,MED,DISORDERS OF THE BILIARY TRACT W MCC,1.5974,4.5,5.9
445, 07,MED,DISORDERS OF THE BILIARY TRACT W CC,1.0323,3.2,3.9
446, 07,MED,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,0.7641,2.4,2.8
453, 08,SURG,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,10.8459,8.7,10.7
454, 08,SURG,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,8.1210,4.7,5.6
455, 08,SURG,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,6.3467,2.9,3.4
456, 08,SURG,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,9.9158,9.5,11.9
457, 08,SURG,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,7.0523,5.5,6.4
458, 08,SURG,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,5.3389,3.3,3.7
459, 08,SURG,SPINAL FUSION EXCEPT CERVICAL W MCC,6.5532,6.7,8.3
460, 08,SURG,SPINAL FUSION EXCEPT CERVICAL W/O MCC,3.9894,2.9,3.4
461, 08,SURG,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC,5.1340,6.7,8.6
462, 08,SURG,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,3.2798,3.1,3.3
463, 08,SURG,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC",5.3812,10.3,14.0
464, 08,SURG,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC",3.0492,6.1,7.7
465, 08,SURG,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC",2.0437,3.8,4.6
466, 08,SURG,REVISION OF HIP OR KNEE REPLACEMENT W MCC,5.0249,6.6,8.2
467, 08,SURG,REVISION OF HIP OR KNEE REPLACEMENT W CC,3.4412,3.6,4.2
468, 08,SURG,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,2.7936,2.6,2.8
469, 08,SURG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,3.2906,5.8,6.9
470, 08,SURG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2.0671,2.6,2.9
471, 08,SURG,CERVICAL SPINAL FUSION W MCC,4.8156,6.3,8.8
472, 08,SURG,CERVICAL SPINAL FUSION W CC,2.8789,2.4,3.3
473, 08,SURG,CERVICAL SPINAL FUSION W/O CC/MCC,2.2992,1.5,1.8
474, 08,SURG,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,3.7498,8.9,11.3
475, 08,SURG,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,2.0701,5.7,7.0
476, 08,SURG,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,1.0771,3.0,3.8
477, 08,SURG,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,3.0384,8.2,10.2
478, 08,SURG,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,2.2417,5.4,6.6
479, 08,SURG,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,1.7482,3.6,4.3
480, 08,SURG,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,3.0014,6.6,7.8
481, 08,SURG,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,2.0036,4.6,5.0
482, 08,SURG,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,1.6344,3.7,4.0
483, 08,SURG,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,2.4097,1.8,2.2
485, 08,SURG,KNEE PROCEDURES W PDX OF INFECTION W MCC,3.0536,7.7,9.3
486, 08,SURG,KNEE PROCEDURES W PDX OF INFECTION W CC,2.0653,5.2,6.0
487, 08,SURG,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,1.5415,3.9,4.4
488, 08,SURG,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,1.7503,3.3,4.0
489, 08,SURG,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,1.2863,2.1,2.4
492, 08,SURG,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC",3.2145,6.3,7.8
493, 08,SURG,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",2.1367,4.0,4.7
494, 08,SURG,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",1.6321,2.7,3.2
495, 08,SURG,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC,3.0812,7.4,9.6
496, 08,SURG,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,1.7938,4.0,5.1
497, 08,SURG,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,1.2655,2.0,2.6
498, 08,SURG,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,2.3685,5.4,7.1
499, 08,SURG,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,1.1379,2.3,2.8
500, 08,SURG,SOFT TISSUE PROCEDURES W MCC,3.1228,7.5,9.9
501, 08,SURG,SOFT TISSUE PROCEDURES W CC,1.6337,4.3,5.4
502, 08,SURG,SOFT TISSUE PROCEDURES W/O CC/MCC,1.2029,2.5,3.0
503, 08,SURG,FOOT PROCEDURES W MCC,2.4142,6.8,8.3
504, 08,SURG,FOOT PROCEDURES W CC,1.5712,4.9,5.9
505, 08,SURG,FOOT PROCEDURES W/O CC/MCC,1.3126,2.9,3.5
506, 08,SURG,MAJOR THUMB OR JOINT PROCEDURES,1.3199,3.6,4.6
507, 08,SURG,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC,1.9525,4.3,5.5
508, 08,SURG,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,1.6850,2.3,2.8
509, 08,SURG,ARTHROSCOPY,1.7630,3.5,4.7
510, 08,SURG,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC",2.4535,4.8,5.9
511, 08,SURG,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC",1.7530,3.3,3.9
512, 08,SURG,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC",1.4225,2.2,2.6
513, 08,SURG,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC",1.5008,4.0,5.2
514, 08,SURG,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC",0.9719,2.4,2.9
515, 08,SURG,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,3.1355,6.8,8.6
516, 08,SURG,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,2.0709,4.3,5.3
517, 08,SURG,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,1.7951,2.6,3.2
518, 08,SURG,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,2.8932,3.6,5.5
519, 08,SURG,BACK & NECK PROC EXC SPINAL FUSION W CC,1.7165,3.2,4.1
520, 08,SURG,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,1.2324,1.9,2.3
533, 08,MED,FRACTURES OF FEMUR W MCC,1.3603,4.3,5.5
534, 08,MED,FRACTURES OF FEMUR W/O MCC,0.7605,2.9,3.5
535, 08,MED,FRACTURES OF HIP & PELVIS W MCC,1.1927,4.0,5.0
536, 08,MED,FRACTURES OF HIP & PELVIS W/O MCC,0.7231,3.0,3.4
537, 08,MED,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC",0.9216,3.3,4.0
538, 08,MED,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC",0.7008,2.5,2.8
539, 08,MED,OSTEOMYELITIS W MCC,1.9385,6.1,8.2
540, 08,MED,OSTEOMYELITIS W CC,1.3142,4.6,5.9
541, 08,MED,OSTEOMYELITIS W/O CC/MCC,0.9634,3.6,4.6
542, 08,MED,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,1.8446,5.5,7.4
543, 08,MED,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,1.1054,3.9,4.9
544, 08,MED,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,0.7749,3.0,3.5
545, 08,MED,CONNECTIVE TISSUE DISORDERS W MCC,2.4500,5.9,8.4
546, 08,MED,CONNECTIVE TISSUE DISORDERS W CC,1.1350,3.7,4.7
547, 08,MED,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,0.7963,2.7,3.2
548, 08,MED,SEPTIC ARTHRITIS W MCC,1.8497,5.7,7.3
549, 08,MED,SEPTIC ARTHRITIS W CC,1.1534,4.1,5.1
550, 08,MED,SEPTIC ARTHRITIS W/O CC/MCC,0.8738,3.0,3.8
551, 08,MED,MEDICAL BACK PROBLEMS W MCC,1.5613,4.6,6.0
552, 08,MED,MEDICAL BACK PROBLEMS W/O MCC,0.8719,3.1,3.7
553, 08,MED,BONE DISEASES & ARTHROPATHIES W MCC,1.2043,4.1,5.2
554, 08,MED,BONE DISEASES & ARTHROPATHIES W/O MCC,0.7291,2.8,3.4
555, 08,MED,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,1.2689,3.8,5.0
556, 08,MED,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,0.7433,2.6,3.2
557, 08,MED,"TENDONITIS, MYOSITIS & BURSITIS W MCC",1.3730,4.8,5.9
558, 08,MED,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC",0.8398,3.3,3.9
559, 08,MED,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC",1.8644,4.8,6.5
560, 08,MED,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",1.0724,3.4,4.3
561, 08,MED,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC",0.7405,2.3,2.7
562, 08,MED,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC",1.3212,4.1,5.2
563, 08,MED,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",0.7915,3.0,3.5
564, 08,MED,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,1.5890,4.7,6.3
565, 08,MED,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,0.9660,3.5,4.3
566, 08,MED,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,0.7247,2.6,3.2
570, 09,SURG,SKIN DEBRIDEMENT W MCC,2.3711,7.0,8.9
571, 09,SURG,SKIN DEBRIDEMENT W CC,1.4391,5.0,6.0
572, 09,SURG,SKIN DEBRIDEMENT W/O CC/MCC,1.0494,3.7,4.4
573, 09,SURG,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC,3.6872,8.4,12.2
574, 09,SURG,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC,2.8569,7.3,9.4
575, 09,SURG,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,1.4792,4.4,5.4
576, 09,SURG,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W MCC,4.3197,8.2,12.2
577, 09,SURG,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,2.2889,4.4,6.4
578, 09,SURG,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,1.3833,2.6,3.5
579, 09,SURG,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC",2.7198,7.0,9.1
580, 09,SURG,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",1.6483,4.2,5.4
581, 09,SURG,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",1.2666,2.3,3.0
582, 09,SURG,MASTECTOMY FOR MALIGNANCY W CC/MCC,1.4996,2.3,3.1
583, 09,SURG,MASTECTOMY FOR MALIGNANCY W/O CC/MCC,1.3161,1.7,2.0
584, 09,SURG,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC",1.7952,3.6,4.8
585, 09,SURG,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC",1.5874,2.1,2.6
592, 09,MED,SKIN ULCERS W MCC,1.4086,4.9,6.5
593, 09,MED,SKIN ULCERS W CC,0.9983,4.0,4.9
594, 09,MED,SKIN ULCERS W/O CC/MCC,0.7351,3.1,3.8
595, 09,MED,MAJOR SKIN DISORDERS W MCC,2.0203,5.6,7.6
596, 09,MED,MAJOR SKIN DISORDERS W/O MCC,0.9671,3.6,4.5
597, 09,MED,MALIGNANT BREAST DISORDERS W MCC,1.7583,5.3,7.1
598, 09,MED,MALIGNANT BREAST DISORDERS W CC,1.1909,3.8,5.1
599, 09,MED,MALIGNANT BREAST DISORDERS W/O CC/MCC,0.7094,2.4,3.2
600, 09,MED,NON-MALIGNANT BREAST DISORDERS W CC/MCC,1.0093,3.6,4.6
601, 09,MED,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,0.6611,2.7,3.2
602, 09,MED,CELLULITIS W MCC,1.4558,4.9,6.1
603, 09,MED,CELLULITIS W/O MCC,0.8445,3.4,4.1
604, 09,MED,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC",1.3482,4.0,5.1
605, 09,MED,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC",0.8153,2.7,3.3
606, 09,MED,MINOR SKIN DISORDERS W MCC,1.4062,4.2,5.9
607, 09,MED,MINOR SKIN DISORDERS W/O MCC,0.7719,2.9,3.6
614, 10,SURG,ADRENAL & PITUITARY PROCEDURES W CC/MCC,2.4020,3.8,5.5
615, 10,SURG,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,1.4146,2.0,2.3
616, 10,SURG,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC",4.0724,10.5,12.7
617, 10,SURG,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC",2.0092,6.0,7.2
618, 10,SURG,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W/O CC/MCC",1.2436,3.7,4.6
619, 10,SURG,O.R. PROCEDURES FOR OBESITY W MCC,3.0872,3.8,6.0
620, 10,SURG,O.R. PROCEDURES FOR OBESITY W CC,1.7870,2.3,2.8
621, 10,SURG,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,1.5522,1.7,1.9
622, 10,SURG,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC",3.6812,9.0,11.9
623, 10,SURG,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC",1.8950,5.5,6.9
624, 10,SURG,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W/O CC/MCC",1.0722,3.7,4.4
625, 10,SURG,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC",2.6769,5.1,7.5
626, 10,SURG,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC",1.5039,2.4,3.5
627, 10,SURG,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC",1.0183,1.5,1.7
628, 10,SURG,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC",3.3498,6.9,9.6
629, 10,SURG,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC",2.1705,6.0,7.1
630, 10,SURG,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC",1.5055,2.8,3.6
637, 10,MED,DIABETES W MCC,1.3567,4.0,5.3
638, 10,MED,DIABETES W CC,0.8382,3.0,3.7
639, 10,MED,DIABETES W/O CC/MCC,0.5972,2.2,2.6
640, 10,MED,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",1.1433,3.3,4.5
641, 10,MED,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",0.7181,2.7,3.3
642, 10,MED,INBORN AND OTHER DISORDERS OF METABOLISM,1.2065,3.3,4.5
643, 10,MED,ENDOCRINE DISORDERS W MCC,1.5680,5.1,6.4
644, 10,MED,ENDOCRINE DISORDERS W CC,0.9970,3.7,4.5
645, 10,MED,ENDOCRINE DISORDERS W/O CC/MCC,0.7299,2.8,3.3
652, 11,SURG,KIDNEY TRANSPLANT,3.2964,5.5,6.5
653, 11,SURG,MAJOR BLADDER PROCEDURES W MCC,5.7501,11.7,14.4
654, 11,SURG,MAJOR BLADDER PROCEDURES W CC,3.0787,7.1,8.0
655, 11,SURG,MAJOR BLADDER PROCEDURES W/O CC/MCC,2.1635,4.6,5.2
656, 11,SURG,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,3.4451,6.5,8.5
657, 11,SURG,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,2.0138,4.1,4.9
658, 11,SURG,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,1.5334,2.5,2.9
659, 11,SURG,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,3.3574,7.5,10.1
